amfi_code,scheme_name,alpha,beta,r_squared,observations
100016,HDFC Top 100 Fund - Regular Plan - Growth,3.8184,-0.0583,0.002665,1149
100025,HDFC Short Term Debt Fund - Regular - Growth,4.3744,0.0012,1.5e-05,1149
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,31.2334,0.0051,1.2e-05,1149
101206,ABSL Frontline Equity Fund - Regular - Growth,23.8508,0.0211,0.000348,1149
101207,ABSL Small Cap Fund - Regular - Growth,11.5104,-0.0653,0.001064,1149
101208,ABSL Liquid Fund - Regular - Growth,6.2744,0.0003,4.6e-05,1149
102885,UTI Nifty 50 Index Fund - Regular - Growth,18.5815,-0.0195,0.000383,1149
102886,UTI Mid Cap Fund - Regular - Growth,2.9391,-0.0421,0.000896,1149
102887,UTI Flexi Cap Fund - Regular - Growth,17.5931,0.0167,0.000186,1149
118632,Nippon India Large Cap Fund - Regular - Growth,24.3835,-0.0084,5.8e-05,1149
118633,Nippon India Large Cap Fund - Direct - Growth,16.9282,-0.0366,0.001138,1149
118634,Nippon India Small Cap Fund - Regular - Growth,19.1182,0.1035,0.002793,1149
118635,Nippon India ETF Nifty 50 BeES,16.3367,-0.0014,2e-06,1149
118636,Nippon India Gilt Securities Fund - Regular - Growth,5.2052,0.0013,1.7e-05,1149
119092,Axis Bluechip Fund - Regular - Growth,7.1421,0.0097,8.1e-05,1149
119093,Axis Bluechip Fund - Direct - Growth,8.5797,0.0259,0.000569,1149
119094,Axis Midcap Fund - Regular - Growth,29.775,-0.0663,0.001937,1149
119095,Axis Small Cap Fund - Regular - Growth,4.9183,-0.067,0.001185,1149
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,5.7812,-0.0064,0.000434,1149
119551,SBI Bluechip Fund - Regular Plan - Growth,26.0998,-0.0318,0.000887,1149
119552,SBI Bluechip Fund - Direct Plan - Growth,21.9703,-0.0262,0.000585,1149
119598,SBI Small Cap Fund - Regular Plan - Growth,35.4168,-0.0232,0.000141,1149
119599,SBI Small Cap Fund - Direct Plan - Growth,5.0031,0.062,0.001026,1149
120503,ICICI Pru Bluechip Fund - Regular - Growth,19.3596,-0.0403,0.001397,1149
120504,ICICI Pru Bluechip Fund - Direct - Growth,23.5974,0.0162,0.000212,1149
120505,ICICI Pru Midcap Fund - Regular - Growth,33.9727,0.0005,0.0,1149
120506,ICICI Pru Value Discovery Fund - Regular - Growth,17.6432,0.0419,0.001257,1149
120507,ICICI Pru Liquid Fund - Regular - Growth,6.978,-0.0004,0.000134,1149
120841,Kotak Bluechip Fund - Regular - Growth,13.9279,0.0364,0.001211,1149
120842,Kotak Emerging Equity Fund - Regular - Growth,8.1158,0.0181,0.000169,1149
120843,Kotak Flexicap Fund - Regular - Growth,31.4106,-0.0228,0.000343,1149
120844,Kotak Liquid Fund - Regular - Growth,6.6677,-0.0004,0.000101,1149
125497,HDFC Top 100 Fund - Direct Plan - Growth,19.3912,0.0488,0.00184,1149
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,12.7342,0.0091,4e-05,1149
148567,Mirae Asset Large Cap Fund - Regular - Growth,30.9563,0.0237,0.000463,1149
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,23.2006,-0.0264,0.000486,1149
148569,Mirae Asset Tax Saver Fund - Regular - Growth,32.6502,0.0181,0.000175,1149
149322,DSP Top 100 Equity Fund - Regular - Growth,14.0763,-0.0041,1.3e-05,1149
149323,DSP Midcap Fund - Regular - Growth,30.4533,-0.0025,3e-06,1149
149324,DSP Small Cap Fund - Regular - Growth,35.0398,0.0115,3.5e-05,1149
