amfi_code,annualised_return,scheme_name
100016,0.02584,HDFC Top 100 Fund - Regular Plan - Growth
100025,0.031112,HDFC Short Term Debt Fund - Regular - Growth
100033,0.214683,HDFC Mid-Cap Opportunities Fund - Regular - Growth
101206,0.16582,ABSL Frontline Equity Fund - Regular - Growth
101207,0.079465,ABSL Small Cap Fund - Regular - Growth
101208,0.044479,ABSL Liquid Fund - Regular - Growth
102885,0.129122,UTI Nifty 50 Index Fund - Regular - Growth
102886,0.019983,UTI Mid Cap Fund - Regular - Growth
102887,0.123277,UTI Flexi Cap Fund - Regular - Growth
118632,0.168648,Nippon India Large Cap Fund - Regular - Growth
118633,0.11742,Nippon India Large Cap Fund - Direct - Growth
118634,0.135842,Nippon India Small Cap Fund - Regular - Growth
118635,0.114237,Nippon India ETF Nifty 50 BeES
118636,0.036977,Nippon India Gilt Securities Fund - Regular - Growth
119092,0.050788,Axis Bluechip Fund - Regular - Growth
119093,0.061228,Axis Bluechip Fund - Direct - Growth
119094,0.203124,Axis Midcap Fund - Regular - Growth
119095,0.033402,Axis Small Cap Fund - Regular - Growth
119120,0.040858,SBI Magnum Gilt Fund - Regular Plan - Growth
119551,0.179551,SBI Bluechip Fund - Regular Plan - Growth
119552,0.151937,SBI Bluechip Fund - Direct Plan - Growth
119598,0.241481,SBI Small Cap Fund - Regular Plan - Growth
119599,0.036936,SBI Small Cap Fund - Direct Plan - Growth
120503,0.133898,ICICI Pru Bluechip Fund - Regular - Growth
120504,0.16399,ICICI Pru Bluechip Fund - Direct - Growth
120505,0.232641,ICICI Pru Midcap Fund - Regular - Growth
120506,0.124242,ICICI Pru Value Discovery Fund - Regular - Growth
120507,0.049402,ICICI Pru Liquid Fund - Regular - Growth
120841,0.098602,Kotak Bluechip Fund - Regular - Growth
120842,0.057801,Kotak Emerging Equity Fund - Regular - Growth
120843,0.21511,Kotak Flexicap Fund - Regular - Growth
120844,0.047226,Kotak Liquid Fund - Regular - Growth
125497,0.136336,HDFC Top 100 Fund - Direct Plan - Growth
125498,0.089704,HDFC Mid-Cap Opportunities Fund - Direct - Growth
148567,0.213344,Mirae Asset Large Cap Fund - Regular - Growth
148568,0.160229,Mirae Asset Emerging Bluechip Fund - Regular - Growth
148569,0.224399,Mirae Asset Tax Saver Fund - Regular - Growth
149322,0.098649,DSP Top 100 Equity Fund - Regular - Growth
149323,0.209312,DSP Midcap Fund - Regular - Growth
149324,0.239953,DSP Small Cap Fund - Regular - Growth
