amfi_code,scheme_name,cagr_1yr,cagr_3yr,cagr_5yr
100016,HDFC Top 100 Fund - Regular Plan - Growth,-0.022258,0.010314,
100025,HDFC Short Term Debt Fund - Regular - Growth,0.037076,0.039052,
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,0.532772,0.324724,
101206,ABSL Frontline Equity Fund - Regular - Growth,0.479638,0.286914,
101207,ABSL Small Cap Fund - Regular - Growth,-0.240003,-0.046968,
101208,ABSL Liquid Fund - Regular - Growth,0.072418,0.063196,
102885,UTI Nifty 50 Index Fund - Regular - Growth,0.202229,0.196595,
102886,UTI Mid Cap Fund - Regular - Growth,-0.16808,-0.009521,
102887,UTI Flexi Cap Fund - Regular - Growth,0.13593,0.247883,
118632,Nippon India Large Cap Fund - Regular - Growth,0.340079,0.225803,
118633,Nippon India Large Cap Fund - Direct - Growth,0.255595,0.212614,
118634,Nippon India Small Cap Fund - Regular - Growth,0.158229,0.072531,
118635,Nippon India ETF Nifty 50 BeES,0.225102,0.194174,
118636,Nippon India Gilt Securities Fund - Regular - Growth,0.104625,0.03831,
119092,Axis Bluechip Fund - Regular - Growth,0.016102,0.012294,
119093,Axis Bluechip Fund - Direct - Growth,0.197815,0.201933,
119094,Axis Midcap Fund - Regular - Growth,0.222779,0.353624,
119095,Axis Small Cap Fund - Regular - Growth,-0.428195,-0.109465,
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,0.055259,0.059179,
119551,SBI Bluechip Fund - Regular Plan - Growth,0.604893,0.303719,
119552,SBI Bluechip Fund - Direct Plan - Growth,0.057101,0.157429,
119598,SBI Small Cap Fund - Regular Plan - Growth,0.828516,0.260905,
119599,SBI Small Cap Fund - Direct Plan - Growth,0.13958,-0.011684,
120503,ICICI Pru Bluechip Fund - Regular - Growth,0.084951,0.139913,
120504,ICICI Pru Bluechip Fund - Direct - Growth,0.130738,0.331709,
120505,ICICI Pru Midcap Fund - Regular - Growth,0.296277,0.315426,
120506,ICICI Pru Value Discovery Fund - Regular - Growth,0.41853,0.178514,
120507,ICICI Pru Liquid Fund - Regular - Growth,0.074303,0.073901,
120841,Kotak Bluechip Fund - Regular - Growth,0.168496,0.172162,
120842,Kotak Emerging Equity Fund - Regular - Growth,0.22519,0.069075,
120843,Kotak Flexicap Fund - Regular - Growth,0.266776,0.29715,
120844,Kotak Liquid Fund - Regular - Growth,0.071254,0.067073,
125497,HDFC Top 100 Fund - Direct Plan - Growth,0.286976,0.181237,
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,0.154551,0.116672,
148567,Mirae Asset Large Cap Fund - Regular - Growth,0.20376,0.341897,
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,0.142798,0.14665,
148569,Mirae Asset Tax Saver Fund - Regular - Growth,0.397838,0.284144,
149322,DSP Top 100 Equity Fund - Regular - Growth,0.181246,0.179771,
149323,DSP Midcap Fund - Regular - Growth,0.214974,0.269004,
149324,DSP Small Cap Fund - Regular - Growth,0.651955,0.269527,
