amfi_code,scheme_name,fund_house,category,sub_category,plan,return_1yr_pct,return_3yr_pct,return_5yr_pct,sharpe_ratio,sortino_ratio,alpha,beta,r_squared,std_dev_ann_pct,max_drawdown,peak_date,trough_date,expense_ratio_pct,aum_crore
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,Mid Cap,Regular,22.2779,35.3624,,1.2367,1.7864,29.775,-0.0663,0.0019,16.4246,-20.9609,2022-04-14,2022-08-11,1.38,28996
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,Large Cap,Regular,20.376,34.1897,,1.7742,2.4759,30.9563,0.0237,0.0005,12.025,-11.2657,2023-07-11,2023-10-20,1.46,11361
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity,Large Cap,Direct,13.0738,33.1709,,1.3487,2.0078,23.5974,0.0162,0.0002,12.1592,-12.5883,2022-10-04,2023-05-30,0.8,41553
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,Mid Cap,Regular,53.2772,32.4724,,1.3393,1.896,31.2334,0.0051,0.0,16.0291,-16.2172,2022-03-11,2022-05-12,1.38,23185
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,Mid Cap,Regular,29.6277,31.5426,,1.4245,2.0738,33.9727,0.0005,0.0,16.3311,-18.1885,2024-10-24,2025-01-23,1.36,979
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,Large Cap,Regular,60.4893,30.3719,,1.543,2.3145,26.0998,-0.0318,0.0009,11.6365,-15.0124,2023-08-24,2024-02-05,1.54,14288
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,Flexi Cap,Regular,26.6776,29.715,,1.5988,2.4498,31.4106,-0.0228,0.0003,13.4543,-12.974,2022-03-07,2022-04-13,1.45,35012
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,Large Cap,Regular,47.9638,28.6914,,1.3446,1.9941,23.8508,0.0211,0.0003,12.3321,-11.2916,2023-04-24,2023-07-05,1.6,23500
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity,ELSS,Regular,39.7838,28.4144,,1.4995,2.2073,32.6502,0.0181,0.0002,14.9645,-16.3967,2023-08-10,2023-10-20,1.6,2989
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Equity,Small Cap,Regular,65.1955,26.9527,,1.1416,1.6474,35.0398,0.0115,0.0,21.0191,-31.1719,2024-05-03,2025-01-03,1.52,35124
