amfi_code,scheme_name,fund_house,category,plan,score,return_3yr_pct,sharpe_ratio,alpha,expense_ratio_pct,max_drawdown
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity,Direct,63.35,33.1709,1.3487,23.5974,0.8,-12.5883
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Debt,Regular,61.75,7.3901,10.749,6.978,0.74,-0.0977
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Debt,Regular,61.33,6.7073,10.0225,6.6677,0.6,-0.1163
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,Regular,60.71,34.1897,1.7742,30.9563,1.46,-11.2657
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,Regular,60.09,31.5426,1.4245,33.9727,1.36,-18.1885
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,Regular,58.9,32.4724,1.3393,31.2334,1.38,-16.2172
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,Regular,58.73,35.3624,1.2367,29.775,1.38,-20.9609
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,Regular,57.49,29.715,1.5988,31.4106,1.45,-12.974
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt,Regular,57.29,6.3196,9.6295,6.2744,0.79,-0.1622
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity,Regular,54.46,28.4144,1.4995,32.6502,1.6,-16.3967
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,Regular,53.8,26.0905,1.1352,35.4168,1.43,-28.706
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,Direct,52.99,15.7429,1.2877,21.9703,0.66,-11.8035
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,Regular,52.89,30.3719,1.543,26.0998,1.54,-15.0124
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Equity,Regular,52.43,26.9527,1.1416,35.0398,1.52,-31.1719
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity,Regular,51.58,26.9004,1.3933,30.4533,1.61,-17.2481
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Equity,Direct,50.64,21.2614,0.9915,16.9282,0.72,-18.6297
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,Regular,49.83,28.6914,1.3446,23.8508,1.6,-11.2916
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Equity,Direct,48.27,18.1237,1.0984,19.3912,0.92,-15.2
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Equity,Direct,48.18,19.4174,1.0399,16.3367,0.89,-11.6506
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Equity,Regular,46.42,22.5803,1.408,24.3835,1.51,-17.4141
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Equity,Direct,42.68,20.1933,0.5178,8.5797,0.75,-21.7514
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Equity,Regular,40.86,19.6595,1.1886,18.5815,1.57,-10.8599
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Equity,Regular,40.41,14.665,1.227,23.2006,1.52,-15.2726
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,Regular,39.96,24.7883,0.9247,17.5931,1.64,-21.5398
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity,Direct,39.56,11.6672,0.578,12.7342,0.78,-21.1173
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Equity,Regular,39.08,17.8514,0.9642,17.6432,1.41,-19.8257
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Equity,Regular,39.04,13.9913,1.1396,19.3596,1.42,-13.8979
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Debt,Regular,36.68,3.831,1.0964,5.2052,0.55,-8.3164
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Debt,Regular,36.48,3.9052,0.9417,4.3744,0.56,-4.3083
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Debt,Regular,36.4,5.9179,1.2168,5.7812,0.77,-4.3287
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Equity,Regular,35.77,17.9771,0.8125,14.0763,1.54,-14.8446
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Equity,Regular,34.1,17.2162,0.8657,13.9279,1.59,-17.5736
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity,Regular,30.03,7.2531,0.6364,19.1182,1.53,-23.3449
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Equity,Regular,21.89,6.9075,0.382,8.1158,1.56,-24.0035
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,Direct,20.37,-1.1684,0.1751,5.0031,0.72,-52.5742
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Equity,Regular,18.46,1.2294,0.4305,7.1421,1.64,-14.4016
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity,Regular,15.03,1.0314,0.2101,3.8184,1.55,-24.7344
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,Regular,14.66,-4.6968,0.3643,11.5104,1.53,-35.4469
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,Regular,12.95,-0.9521,0.1303,2.9391,1.51,-28.0011
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Equity,Regular,5.03,-10.9465,0.1576,4.9183,1.38,-51.6778
