amfi_code,scheme_name_clean,HHI
119092,Axis Bluechip Fund (Regular),2967.6909
148569,Mirae Asset Tax Saver Fund (Regular),2549.9193999999998
125498,HDFC Mid-Cap Opportunities Fund (Direct),2531.55
102887,UTI Flexi Cap Fund (Regular),2513.8255
149323,DSP Midcap Fund (Regular),2410.7664
120505,ICICI Pru Midcap Fund (Regular),2386.9504
118635,Nippon India ETF Nifty 50 BeES,2374.9677
119599,SBI Small Cap (Direct),2323.612
120506,ICICI Pru Value Discovery Fund (Regular),2314.6434000000004
100033,HDFC Mid-Cap Opportunities Fund (Regular),2276.4743999999996
119552,SBI Bluechip (Direct),2275.0834999999997
101207,ABSL Small Cap Fund (Regular),2227.2651
120504,ICICI Pru Bluechip Fund (Direct),2212.1303
118633,Nippon India Large Cap Fund (Direct),2212.0032000000006
148568,Mirae Asset Emerging Bluechip Fund (Regular),2180.8585
120841,Kotak Bluechip Fund (Regular),2158.9315
118632,Nippon India Large Cap Fund (Regular),2072.5894
148567,Mirae Asset Large Cap Fund (Regular),2012.4814999999999
149324,DSP Small Cap Fund (Regular),1887.0081999999993
119598,SBI Small Cap (Regular),1880.8485000000003
119093,Axis Bluechip Fund (Direct),1842.332
149322,DSP Top 100 Equity Fund (Regular),1826.9533000000001
120503,ICICI Pru Bluechip Fund (Regular),1821.6749999999997
102885,UTI Nifty 50 Index Fund (Regular),1807.1201999999998
100016,HDFC Top 100 (Regular),1805.8808
101206,ABSL Frontline Equity Fund (Regular),1800.4225000000004
119094,Axis Midcap Fund (Regular),1751.0025
125497,HDFC Top 100 (Direct),1724.1088
120842,Kotak Emerging Equity Fund (Regular),1620.6189
118634,Nippon India Small Cap Fund (Regular),1602.9924
119095,Axis Small Cap Fund (Regular),1595.8229000000001
119551,SBI Bluechip (Regular),1424.9103999999998
120843,Kotak Flexicap Fund (Regular),1362.0616000000002
102886,UTI Mid Cap Fund (Regular),1240.2024000000001
