amfi_code,scheme_name,sharpe_ratio
100016,HDFC Top 100 Fund - Regular Plan - Growth,0.2101
100025,HDFC Short Term Debt Fund - Regular - Growth,0.9417
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,1.3393
101206,ABSL Frontline Equity Fund - Regular - Growth,1.3446
101207,ABSL Small Cap Fund - Regular - Growth,0.3643
101208,ABSL Liquid Fund - Regular - Growth,9.6295
102885,UTI Nifty 50 Index Fund - Regular - Growth,1.1886
102886,UTI Mid Cap Fund - Regular - Growth,0.1303
102887,UTI Flexi Cap Fund - Regular - Growth,0.9247
118632,Nippon India Large Cap Fund - Regular - Growth,1.408
118633,Nippon India Large Cap Fund - Direct - Growth,0.9915
118634,Nippon India Small Cap Fund - Regular - Growth,0.6364
118635,Nippon India ETF Nifty 50 BeES,1.0399
118636,Nippon India Gilt Securities Fund - Regular - Growth,1.0964
119092,Axis Bluechip Fund - Regular - Growth,0.4305
119093,Axis Bluechip Fund - Direct - Growth,0.5178
119094,Axis Midcap Fund - Regular - Growth,1.2367
119095,Axis Small Cap Fund - Regular - Growth,0.1576
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,1.2168
119551,SBI Bluechip Fund - Regular Plan - Growth,1.543
119552,SBI Bluechip Fund - Direct Plan - Growth,1.2877
119598,SBI Small Cap Fund - Regular Plan - Growth,1.1352
119599,SBI Small Cap Fund - Direct Plan - Growth,0.1751
120503,ICICI Pru Bluechip Fund - Regular - Growth,1.1396
120504,ICICI Pru Bluechip Fund - Direct - Growth,1.3487
120505,ICICI Pru Midcap Fund - Regular - Growth,1.4245
120506,ICICI Pru Value Discovery Fund - Regular - Growth,0.9642
120507,ICICI Pru Liquid Fund - Regular - Growth,10.749
120841,Kotak Bluechip Fund - Regular - Growth,0.8657
120842,Kotak Emerging Equity Fund - Regular - Growth,0.382
120843,Kotak Flexicap Fund - Regular - Growth,1.5988
120844,Kotak Liquid Fund - Regular - Growth,10.0225
125497,HDFC Top 100 Fund - Direct Plan - Growth,1.0984
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,0.578
148567,Mirae Asset Large Cap Fund - Regular - Growth,1.7742
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,1.227
148569,Mirae Asset Tax Saver Fund - Regular - Growth,1.4995
149322,DSP Top 100 Equity Fund - Regular - Growth,0.8125
149323,DSP Midcap Fund - Regular - Growth,1.3933
149324,DSP Small Cap Fund - Regular - Growth,1.1416
