amfi_code,scheme_name,sortino_ratio
100016,HDFC Top 100 Fund - Regular Plan - Growth,0.3094
100025,HDFC Short Term Debt Fund - Regular - Growth,1.3231
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,1.896
101206,ABSL Frontline Equity Fund - Regular - Growth,1.9941
101207,ABSL Small Cap Fund - Regular - Growth,0.5239
101208,ABSL Liquid Fund - Regular - Growth,18.1027
102885,UTI Nifty 50 Index Fund - Regular - Growth,1.7675
102886,UTI Mid Cap Fund - Regular - Growth,0.1859
102887,UTI Flexi Cap Fund - Regular - Growth,1.3748
118632,Nippon India Large Cap Fund - Regular - Growth,2.0389
118633,Nippon India Large Cap Fund - Direct - Growth,1.501
118634,Nippon India Small Cap Fund - Regular - Growth,0.8953
118635,Nippon India ETF Nifty 50 BeES,1.506
118636,Nippon India Gilt Securities Fund - Regular - Growth,1.5961
119092,Axis Bluechip Fund - Regular - Growth,0.6217
119093,Axis Bluechip Fund - Direct - Growth,0.7469
119094,Axis Midcap Fund - Regular - Growth,1.7864
119095,Axis Small Cap Fund - Regular - Growth,0.2248
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,1.7126
119551,SBI Bluechip Fund - Regular Plan - Growth,2.3145
119552,SBI Bluechip Fund - Direct Plan - Growth,1.8406
119598,SBI Small Cap Fund - Regular Plan - Growth,1.7023
119599,SBI Small Cap Fund - Direct Plan - Growth,0.2443
120503,ICICI Pru Bluechip Fund - Regular - Growth,1.6169
120504,ICICI Pru Bluechip Fund - Direct - Growth,2.0078
120505,ICICI Pru Midcap Fund - Regular - Growth,2.0738
120506,ICICI Pru Value Discovery Fund - Regular - Growth,1.3777
120507,ICICI Pru Liquid Fund - Regular - Growth,21.2288
120841,Kotak Bluechip Fund - Regular - Growth,1.2781
120842,Kotak Emerging Equity Fund - Regular - Growth,0.53
120843,Kotak Flexicap Fund - Regular - Growth,2.4498
120844,Kotak Liquid Fund - Regular - Growth,19.4607
125497,HDFC Top 100 Fund - Direct Plan - Growth,1.5942
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,0.8273
148567,Mirae Asset Large Cap Fund - Regular - Growth,2.4759
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,1.8305
148569,Mirae Asset Tax Saver Fund - Regular - Growth,2.2073
149322,DSP Top 100 Equity Fund - Regular - Growth,1.1288
149323,DSP Midcap Fund - Regular - Growth,1.9535
149324,DSP Small Cap Fund - Regular - Growth,1.6474
