amfi_code,std_dev_ann_pct,scheme_name
100016,12.3004,HDFC Top 100 Fund - Regular Plan - Growth
100025,3.304,HDFC Short Term Debt Fund - Regular - Growth
100033,16.0291,HDFC Mid-Cap Opportunities Fund - Regular - Growth
101206,12.3321,ABSL Frontline Equity Fund - Regular - Growth
101207,21.813,ABSL Small Cap Fund - Regular - Growth
101208,0.4619,ABSL Liquid Fund - Regular - Growth
102885,10.8637,UTI Nifty 50 Index Fund - Regular - Growth
102886,15.3324,UTI Mid Cap Fund - Regular - Growth
102887,13.3313,UTI Flexi Cap Fund - Regular - Growth
118632,11.9781,Nippon India Large Cap Fund - Regular - Growth
118633,11.8425,Nippon India Large Cap Fund - Direct - Growth
118634,21.347,Nippon India Small Cap Fund - Regular - Growth
118635,10.9853,Nippon India ETF Nifty 50 BeES
118636,3.3727,Nippon India Gilt Securities Fund - Regular - Growth
119092,11.7965,Axis Bluechip Fund - Regular - Growth
119093,11.8248,Axis Bluechip Fund - Direct - Growth
119094,16.4246,Axis Midcap Fund - Regular - Growth
119095,21.1934,Axis Small Cap Fund - Regular - Growth
119120,3.3578,SBI Magnum Gilt Fund - Regular Plan - Growth
119551,11.6365,SBI Bluechip Fund - Regular Plan - Growth
119552,11.7988,SBI Bluechip Fund - Direct Plan - Growth
119598,21.273,SBI Small Cap Fund - Regular Plan - Growth
119599,21.0951,SBI Small Cap Fund - Direct Plan - Growth
120503,11.7495,ICICI Pru Bluechip Fund - Regular - Growth
120504,12.1592,ICICI Pru Bluechip Fund - Direct - Growth
120505,16.3311,ICICI Pru Midcap Fund - Regular - Growth
120506,12.8854,ICICI Pru Value Discovery Fund - Regular - Growth
120507,0.4596,ICICI Pru Liquid Fund - Regular - Growth
120841,11.3894,Kotak Bluechip Fund - Regular - Growth
120842,15.1311,Kotak Emerging Equity Fund - Regular - Growth
120843,13.4543,Kotak Flexicap Fund - Regular - Growth
120844,0.4712,Kotak Liquid Fund - Regular - Growth
125497,12.4125,HDFC Top 100 Fund - Direct Plan - Growth
125498,15.5202,HDFC Mid-Cap Opportunities Fund - Direct - Growth
148567,12.025,Mirae Asset Large Cap Fund - Regular - Growth
148568,13.0583,Mirae Asset Emerging Bluechip Fund - Regular - Growth
148569,14.9645,Mirae Asset Tax Saver Fund - Regular - Growth
149322,12.1415,DSP Top 100 Equity Fund - Regular - Growth
149323,15.0229,DSP Midcap Fund - Regular - Growth
149324,21.0191,DSP Small Cap Fund - Regular - Growth
