amfi_code,scheme_name,benchmark,tracking_error
119094,Axis Midcap Fund - Regular - Growth,NIFTY50,0.237071
148567,Mirae Asset Large Cap Fund - Regular - Growth,NIFTY50,0.193996
120504,ICICI Pru Bluechip Fund - Direct - Growth,NIFTY50,0.191376
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,NIFTY50,0.229755
120505,ICICI Pru Midcap Fund - Regular - Growth,NIFTY50,0.233124
119094,Axis Midcap Fund - Regular - Growth,NIFTY100,0.237652
148567,Mirae Asset Large Cap Fund - Regular - Growth,NIFTY100,0.189664
120504,ICICI Pru Bluechip Fund - Direct - Growth,NIFTY100,0.191587
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,NIFTY100,0.228699
120505,ICICI Pru Midcap Fund - Regular - Growth,NIFTY100,0.231968
